Article	PRIX D'ACHAT	PRIX DE VENTE	CODE GEO
Kaleorid Leo Lp 600mg B//30	1369	1825	DIVERS COMPRIMES
Ketoprofen Gh 100mg Cp B/30	1211	1615	DOULEURS ET FIEVRES
Ketoprofen Gh 100mg Suppo B/12	1290	1720	ANTI-INFLAMMATOIRES
Larinate 60 mg inj B/1	953	1270	INJECTABLES
Laroscobine/Vit C amp	416	555	INJECTABLES
Lasilix20mg Inj	848	1130	INJECTABLES
Liposic gel opht T/10G	1706	2275	COLLYRES - POM OPHTA
Litacold plaquette	225	300	CH ET DETAILS
Litacold Sp F/100ml	848	1130	RHUME ET GRIPPE
Loperamide Gel 2 mg (Plaquette)	383	510	TROUBLES DIGESTIFS
Lopine 10mg cpr B/30	5063	6750	ANTIHISTAMINIQUES
Lopine 5mg cpr B/30	4650	6200	ANTIHISTAMINIQUES
Loxen 10 mg inj amp	1425	1900	INJECTABLES
Lyatem 20mg/ml im sol inj Amp	169	225	INJECTABLES
Maalox susp buv sach 4,3ml B/20 (sach)	150	200	TROUBLES DIGESTIFS
Magnex direct(Sacha)	200	200	TONUS ET VITALITE
Maxidrol Coll F/3ml	1418	1890	COLLYRES - POM OPHTA
Meben -GH 100mg/5ml SP buv/30ml	638	850	DEPARASITANS
Meben Gh 500mg B/1	311	415	DEPARASITANS
Mebendazole Ubi 100mg/m5g sp/30ml	675	900	DEPARASITANS
Mediclav 1000 mg/ 125 mg PDRE SACH B/12	3896	5195	ANTIBIOTIQUES
Metagard Cr 35mg B/30	2243	2990	ANTIHYPERTENSEURS
Metformin Denk 500(plaquette)	263	350	ANTIDIABETIQUES
Metformin Denk 850mg CprB/30	1755	2340	ANTIDIABETIQUES
Metformine arrow 1000mg B/30	1549	2065	ANTIDIABETIQUES
Metformine Bior 850mg B/30	1343	1790	ANTIDIABETIQUES
Metronidazol progen 500mg 50bl10 (Plaquette)	330	440	CH ET DETAILS
Metronidazole 500mg PERF	848	1130	INJECTABLES
Metzole 500 mg inj	619	825	INJECTABLES
Mexine(cimetidine)amp	315	420	INJECTABLES
Micfox 100mg Cpr Disp B/10	1200	1600	ANTIBIOTIQUES
Micfox 100mg/5ml Buv F/60ml	1549	2065	ANTIBIOTIQUES
Miorel 4mg gel B/12	2430	3240	ANTI-INFLAMMATOIRES
Mizole 2% T/15G	1343	1790	HYGIENE BUCCALE
Mydriaticum 0,5%colly fp 10ml	1530	2040	COLLYRES - POM OPHTA
Neurobion CPR DRG B/20	2273	3030	NEUROLOGIE-ANXIOLYTIQUE
Neutropar 1g	941	1255	INJECTABLES
Niflox 200mg/500mg car B/30	5168	6890	ANTIBIOTIQUES
Niflox plaquette	1725	2300	CH ET DETAILS
Nuravit sp F/125ml	2171	2895	TONUS ET VITALITE
Ocuguard gel B/20	3566	4755	TONUS ET VITALITE
Oflocet gttes auric 1,5g B/20	4485	5980	COLLYRES - POM OPHTA
Oflocine 200mg B/10	2175	2900	ANTIBIOTIQUES
Omeprazole Biog 20mg Gel B14	1283	1710	TROUBLES DIGESTIFS
Omper 20mg B/14	908	1210	TROUBLES DIGESTIFS
Osmule Pdre 5,6g (sachet)	276	276	TROUBLES DIGESTIFS
Otipax sol auric gtte F/15ml	1590	2120	GOUTTES AURICULAIRES
Otrivine 0,05% enfant F/10ml	1084	1445	GOUTTES AURICULAIRES
Otrivine 0,1% efant F/10ml	1200	1600	GOUTTES AURICULAIRES
Otrivine 0,1% gtte nas F/10ml	1459	1945	GOUTTES AURICULAIRES
Oxiclar 500mg gel B/24	2479	3305	ANTIBIOTIQUES
Paluva Plus 60mg inj	848	1130	INJECTABLES
Pantonex Dr 40mg cpr LP B/10	1448	1930	TROUBLES DIGESTIFS
Pantonex DR LP 40MG CPR B/30	3949	5265	TROUBLES DIGESTIFS
Paracétamol UBI 500mg cp (Plaquette)	150	200	CH ET DETAILS
Pectogen SP F/120 ML	1136	1515	TOUX GRASSES
Phenergan 2% crème Tb 30g	1538	2050	POMMADES-CREMES
Pindazole B/6	619	825	DEPARASITANS
Plufentrine 40/240mg	1129	1505	ANTIPALUDIQUES
poche Urinaire	500	1000	MATERIELS MEDICAUX
Polifer Sp F/250ml	2048	2730	ANTIANEMIQUES
Predni 20 mg B/20	2438	3250	ANTI-INFLAMMATOIRES
Promongyl 1g B/2	1725	2300	ANTIFONGIQUES
Prostalen 10mg B/30	8265	8265	DIVERS COMPRIMES
Quinicreat plaquette	1320	1320	CH ET DETAILS
Quinine Creat 300MG CPR 10BL10	9536	13115	CH ET DETAILS
Ramipril gh 10mg B/30	4909	6545	ANTIHYPERTENSEURS
Ramipril-GH 10mg plaquette	1650	2200	ANTIHYPERTENSEURS
Ramithiazide 10/12,5 (plaquette)	775	1033	ANTIHYPERTENSEURS
Ramithiazide 10mg/12.5mg B/30	3124	4165	ANTIHYPERTENSEURS
Rapril 5mg cp B/30	3908	5210	ANTIHYPERTENSEURS
Rapril 5ml plaquette	1950	2600	ANTIHYPERTENSEURS
Resttiva/Novalgin 500 mg inj amp	585	780	INJECTABLES
Richfer plus SP F/200ml	2584	3445	ANTIANEMIQUES
Rilif 100mg cp (Plaquette)	263	350	CH ET DETAILS
Ringer Lactacte	713	950	SOLUTES
Roipar 1g CP B/8	818	1090	DOULEURS ET FIEVRES
Rosumac 10mg B/30	4673	6230	ANTIHYPERTENSEURS
Sedorrhoide Crise Hémorroïdaire CR T/30G	1961	2615	POMMADES-CREMES
Sedorrhoide crème T/30g	1965	2620	POMMADES-CREMES
Sedorrhoide suppo T/8	1950	2600	SUPPOSITOIRES
Seringue Insuline	60	100	MATERIELS MEDICAUX
SGi 250ml	570	760	SOLUTES
SGI 500ml	713	950	SOLUTES
Skinet crème T/50g	1800	2400	POMMADES-CREMES
Smecta susp (sachet)	113	150	TROUBLES DIGESTIFS
Sonde Urinaire	800	1000	MATERIELS MEDICAUX
spasmex 80/80mg cpr B/10	555	740	TROUBLES DIGESTIFS
Spasmo Apotel 500mg/10mg B/20	2891	3855	SUPPOSITOIRES
Spasmo Apotel 800mg suppo B/5	1984	2645	SUPPOSITOIRES
Spasmosyl 400 mg inj	296	395	INJECTABLES
Spektrum energy cpr B/30	5591	7455	TONUS ET VITALITE
SSI 500 mg	713	950	SOLUTES
Symbicort turbuh 200	18000	18000	ANTIASTHMATQIUES
Tadal 20mg cp B/3	1118	1490	FORTIFIANTS
Tanganil 500ml B/30	3169	4225	DIVERS COMPRIMES
Taxim-o	3469	4625	ANTIBIOTIQUES
Tobrex Collyre FP 5ml	1571	2095	COLLYRES - POM OPHTA
Tonther 80 mg inj	311	415	INJECTABLES
Tracedol Cpr efferv B/16	2501	3335	ANTI-INFLAMMATOIRES
Tramfiz 100mg inj amp	315	420	INJECTABLES
Tricoz LP 35mg cpr B/60	4673	6230	ANTIHYPERTENSEURS
Tuspel plus F/100ml	1605	2140	TOUX GRASSES
Upracid 20ml Cpr B/10	2066	2755	TROUBLES DIGESTIFS
Upracid 40mg B/14	4133	5510	TROUBLES DIGESTIFS
Upsa vit 1g cp efferv B/10	908	1210	TONUS ET VITALITE
Valium	1958	2610	NEUROLOGIE-ANXIOLYTIQUE
Ventoline Bucc Fl AERO 200 Dose	3600	3600	ANTIASTHMATQIUES
Viferon B susp	1755	2340	ANTIANEMIQUES
Vit B Complexe amp	113	150	INJECTABLES
Vogalene 0,4% gtte F/30ml	1376	1835	GOUTTES BUVABLES
Vogalene 5ml F150m	2070	2760	TROUBLES DIGESTIFS
Vogalene 5ml suppo B/10	840	1120	SUPPOSITOIRES
Volgalene 10mg inj	259	345	INJECTABLES
Zerodol Cr 200mg plaquette	2963	3950	ANTI-INFLAMMATOIRES
Zerodol p cpr (plaquette de 10)	1571	2095	ANTI-INFLAMMATOIRES
Zexim 400mg Gel B/5	4361	5815	ANTIBIOTIQUES
